group_id,par_cand_idx,par_correct,par_score,par_margin,par_prob,par_start,par_end,yog_cand_idx,yog_correct,yog_score,yog_margin,yog_prob,yog_start,yog_end,kp_cand_idx,kp_correct,kp_score,kp_margin,kp_prob,kp_start,kp_end,death_jd,path_a,has_overlap
39810000,5,0,0.05617321592817083,0.019840710415757662,0.0587633244925584,2448519.7580906213,2448597.813368399,6,0,0.8792392951467625,0.0030142950991771666,0.07882986900876075,2448368.366484886,2448436.005373775,0,0,0.06833863480039899,0.022785458900230843,0.06047186106433798,2448132.05197951,2448228.2344795098,2448711.0,0,False
39810100,10,0,0.048132036350337574,0.012861338829837268,0.07410773110276547,2440613.4008479044,2440672.0437645707,1,0,0.9171573947732716,0.04039396982481436,0.05184284428214984,2440136.727198816,2440204.366087705,9,0,0.045085238801739605,0.005366297163650065,0.07435611700605392,2440550.686070127,2440613.400847905,2440544.0,0,True
39810300,3,0,0.06985345114153244,0.0013271724528895468,0.07082908544350232,2449307.8435869124,2449425.704350802,17,0,0.8358865627878316,0.009963807874189712,0.05381433383997563,2449549.240497423,2449616.879386312,3,0,0.04823389648473777,0.0003582828294641585,0.06990041075874778,2449307.8435869124,2449425.704350802,2449085.0,0,True
39810400,2,0,0.0020627934315710765,0.006055277648159392,0.022667838606639342,2429621.8080792427,2429667.887072299,14,0,0.7659515860701989,0.01462590623265192,0.031255921878240174,2429840.7039946374,2429894.8151057484,43,0,0.04011605476000567,0.0011582823416072044,0.02450948163794506,2430219.19897334,2430250.892020215,2430133.0,0,False
39810500,5,0,0.039102589222327934,0.0029362496340780905,0.08540504091555871,2441600.2222496136,2441678.2775273914,2,0,0.822616783490721,0.01771053785736032,0.04148610463233452,2441360.071524793,2441441.2381914593,4,0,0.04459311042578742,0.0037742851030460114,0.08632745085102889,2441521.8287773915,2441600.2222496136,2441350.0,0,False
39810600,3,1,0.05525041259611202,0.008009277290092945,0.05056887290802072,2444004.1743857353,2444070.519680874,13,0,0.8420788100626393,0.017727115941123195,0.057816024622401575,2444144.9976791586,2444214.0457115658,1,0,0.05813007683902714,0.0015445874978342045,0.05180967500093055,2443825.54008018,2443920.881321499,2444051.0,0,False
39810700,12,0,0.046546045778382304,0.008405475507279915,0.06935945240990905,2443295.927482091,2443385.501662646,2,1,0.806157854513772,0.024339736412754442,0.019077256138159176,2442859.235432005,2442938.147469042,9,0,0.04543839112239423,0.01588163674948804,0.07018908493133574,2443091.5836348683,2443168.5296348683,2442870.0,0,False
39810800,6,0,0.02964492643818879,0.008181094492807243,0.04721375378321863,2460482.303197161,2460532.182650286,14,0,0.8304409539230415,0.012846212900489817,0.039510453448203885,2460770.854103633,2460824.965214744,20,0,0.05188603488412184,0.006712018352823923,0.04844187678177335,2460977.724238827,2461016.6880435147,2460400.0,0,False
39810900,25,0,-0.00505737285974421,0.00046492837924277594,0.033735932168997416,2458958.2517040055,2458996.805870672,5,0,0.8677890912991706,0.0030572557131437472,0.08478832524566118,2458576.7879321375,2458687.264783989,28,0,0.031175764998995374,0.0038567506276753066,0.035281043436732266,2459072.020315117,2459099.955176228,2458885.0,0,False
39811000,21,0,0.053325481469108024,0.021707824945269502,0.04635862497263675,2446645.1698704036,2446763.5379259586,10,0,0.9031964164943741,0.04906170454033776,0.0678066921857147,2446669.2019895893,2446763.8964340338,21,0,0.021746165377718417,0.008414623991229971,0.046033970392423976,2446645.1698704036,2446763.5379259586,2446810.0,0,True
