chart_id,top1_correct,top1_score,top2_score,margin_abs,margin_norm,top1_prob,n_candidates,q,qp
39810000,0,0.8792392951467625,0.8762250000475853,0.0030142950991771666,0.007697566403525546,0.07882986900876075,15,Q1 (low),Q4 (high)
39810100,0,0.9171573947732716,0.8767634249484573,0.04039396982481436,0.04736971776278173,0.05184284428214984,32,Q3,Q2
39810300,0,0.8358865627878316,0.8259227549136419,0.009963807874189712,0.019071455982150036,0.05381433383997563,23,Q1 (low),Q2
39810400,0,0.7659515860701989,0.751325679837547,0.01462590623265192,0.021926023738448257,0.031255921878240174,42,Q2,Q1 (low)
39810500,0,0.822616783490721,0.8049062456333607,0.01771053785736032,0.026959961626698097,0.04148610463233452,32,Q2,Q2
39810600,0,0.8420788100626393,0.8243516941215161,0.017727115941123195,0.03627762884814662,0.057816024622401575,21,Q2,Q3
39810700,1,0.806157854513772,0.7818181181010175,0.024339736412754442,0.031154427440884737,0.019077256138159176,82,Q3,Q1 (low)
39810800,0,0.8304409539230415,0.8175947410225517,0.012846212900489817,0.01760883744994312,0.039510453448203885,35,Q2,Q2
39810900,0,0.8677890912991706,0.8647318355860268,0.0030572557131437472,0.005537582698880284,0.08478832524566118,15,Q1 (low),Q4 (high)
39811000,0,0.9031964164943741,0.8541347119540363,0.04906170454033776,0.060817014599706225,0.0678066921857147,22,Q4 (high),Q3
39811100,0,0.9439381808233022,0.8992540882399147,0.04468409258338746,0.05801630997009359,0.04667836925292629,32,Q4 (high),Q2
39811200,1,0.8734001849003825,0.8445113197588179,0.028888865141564635,0.04885498845585987,0.06998646389352194,18,Q3,Q3
39811300,0,0.8891946972687936,0.8836198949152614,0.005574802353532249,0.0079722658273049,0.06730961533668696,19,Q1 (low),Q3
39811400,1,0.9088997577505326,0.8681917315889208,0.04070802616161173,0.051323683810516746,0.045859137270186,31,Q3,Q2
39811500,0,0.8562517075490823,0.7905592054354826,0.06569250211359967,0.08525961314637837,0.03995249102261917,37,Q4 (high),Q2
39811600,0,0.8557461286269861,0.8367035032232268,0.019042625403759228,0.03816126528747688,0.0657944093929928,18,Q2,Q3
39811700,0,0.8709645959130103,0.8304326210110757,0.04053197490193461,0.06891750687549789,0.06703296763812601,18,Q3,Q3
39811800,0,0.8386920843531425,0.8066598553689699,0.03203222898417257,0.06235414564117486,0.05536111174524565,22,Q3,Q3
39811900,0,0.884904001244798,0.8815234715780431,0.003380529666754839,0.004165998070963703,0.0631225218989174,22,Q1 (low),Q3
39812000,0,0.7467858354827512,0.7340548699269556,0.01273096555579567,0.02111063610874394,0.0225978677138192,58,Q2,Q1 (low)
39812100,0,0.893290172716711,0.8661699951066865,0.0271201776100245,0.054367069179267966,0.08674337512789773,14,Q3,Q4 (high)
39812200,0,0.8200579830026868,0.8142469683747279,0.005811014627958966,0.007731668512693384,0.046456501283184896,29,Q1 (low),Q2
39812300,0,0.8513218448326286,0.8457843018630532,0.005537542969575426,0.01253930440865745,0.09068723119033395,13,Q1 (low),Q4 (high)
39812400,0,0.9425484584843695,0.9281170934661032,0.014431365018266362,0.018749669308541408,0.058456317341036325,25,Q2,Q3
39812500,0,0.871742431495964,0.8324463507662168,0.03929608072974722,0.06092354623842957,0.05711498304447966,22,Q3,Q3
39812600,0,0.9314144447952244,0.889637935200793,0.041776509594431355,0.07008107662106167,0.09174678753998478,14,Q4 (high),Q4 (high)
39812700,0,0.9013278358511357,0.8970274178669899,0.004300417984145821,0.007924358452877882,0.09468153952004531,13,Q1 (low),Q4 (high)
39812800,0,0.845661881115648,0.8237731075243546,0.021888773591293376,0.033060439712529574,0.044592124155414546,30,Q3,Q2
39812900,0,0.9297819589861077,0.9027033560906028,0.0270786028955049,0.04769033761370539,0.08312277849701644,15,Q3,Q4 (high)
39813000,0,0.7071994229643483,0.6921775838711435,0.01502183909320487,0.02537147264671485,0.025517745065420306,50,Q2,Q1 (low)
39813100,0,0.8052970697621962,0.7963924039724913,0.008904665789704835,0.012936089530379856,0.04465899307807652,28,Q1 (low),Q2
39813200,0,0.870682049869655,0.8129618083440615,0.05772024152559352,0.11080732955768688,0.06818164171161502,18,Q4 (high),Q3
39813300,0,0.9142470425357317,0.8724297539858674,0.04181728854986433,0.07660957884799859,0.07863015333648217,16,Q4 (high),Q4 (high)
39813400,0,0.7427674744191258,0.742664975268944,0.00010249915018178957,0.00019715599979220334,0.03223476184844467,38,Q1 (low),Q1 (low)
39813500,0,0.8167201585427243,0.8096806255468034,0.007039532995920861,0.009271570147828055,0.03697215496666325,37,Q1 (low),Q1 (low)
