chart_id,top1_correct,top1_score,top2_score,margin_abs,margin_norm,top1_prob,n_candidates,q,qp
39810000,0,0.05617321592817083,0.03633250551241317,0.019840710415757662,0.2353335411827367,0.0587633244925584,18,Q4 (high),Q2
39810100,0,0.048132036350337574,0.035270697520500306,0.012861338829837268,0.19067303987003406,0.07410773110276547,14,Q3,Q3
39810300,0,0.06985345114153244,0.06852627868864289,0.0013271724528895468,0.014116135514220541,0.07082908544350232,15,Q1 (low),Q3
39810400,0,0.0020627934315710765,-0.003992484216588316,0.006055277648159392,0.2305958458872708,0.022667838606639342,45,Q2,Q1 (low)
39810500,0,0.039102589222327934,0.03616633958824984,0.0029362496340780905,0.05302896680206959,0.08540504091555871,12,Q1 (low),Q4 (high)
39810600,1,0.05525041259611202,0.047241135306019075,0.008009277290092945,0.1008230531430293,0.05056887290802072,21,Q2,Q2
39810700,0,0.046546045778382304,0.03814057027110239,0.008405475507279915,0.1256376790383275,0.06935945240990905,15,Q2,Q3
39810800,0,0.02964492643818879,0.021463831945381547,0.008181094492807243,0.1534200843573159,0.04721375378321863,22,Q2,Q2
39810900,0,-0.00505737285974421,-0.005522301238986986,0.00046492837924277594,0.023818810740897846,0.033735932168997416,30,Q1 (low),Q1 (low)
39811000,0,0.053325481469108024,0.03161765652383852,0.021707824945269502,0.2753848718090582,0.04635862497263675,23,Q4 (high),Q2
39811100,0,0.06091104260296566,0.04634513999325339,0.014565902609712272,0.18127065758589145,0.08082673119756648,13,Q3,Q3
39811200,0,-0.0033377889214114263,-0.003337837161299223,4.823988779658131e-08,2.25324216493952e-06,0.017808610512135607,57,Q1 (low),Q1 (low)
39811300,1,0.045950058076072595,0.04483802736846547,0.0011120307076071256,0.015805603450914852,0.05251505869342923,20,Q1 (low),Q2
39811400,1,0.043785996516448024,0.0279784488269213,0.015807547689526726,0.23318140427634804,0.07429759709046889,14,Q3,Q3
39811500,0,-0.010453300400271386,-0.014345054537694284,0.0038917541374228985,0.23974202325189903,0.022439104931960677,45,Q2,Q1 (low)
39811600,0,0.025220956489588536,0.01264304939765017,0.012577907091938366,0.2555309035189415,0.03353705903703039,31,Q3,Q1 (low)
39811700,0,0.03458162141650858,0.019327690422925262,0.015253930993583315,0.2519602005164778,0.043751402423005535,24,Q3,Q2
39811800,0,0.07515385640593263,0.035954772941193626,0.039199083464739,0.402108299148161,0.05433051088972302,20,Q4 (high),Q2
39811900,0,0.07523822354907374,0.034915400186622446,0.04032282336245129,0.42856933910075296,0.08867913862028524,12,Q4 (high),Q4 (high)
39812000,1,0.06865377445907792,0.039017828926231596,0.02963594553284632,0.3094730739923783,0.056685820155555545,19,Q4 (high),Q2
39812100,0,0.08370647929917285,0.07824503821883047,0.005461441080342383,0.05206151464076232,0.10602551660163023,10,Q2,Q4 (high)
39812200,0,0.07928023936110444,0.07244674306294197,0.006833496298162475,0.0759679989676805,0.11571395085355354,9,Q2,Q4 (high)
39812300,0,0.057130252160540164,0.042071247400656764,0.0150590047598834,0.19857094716704357,0.08057869984992477,13,Q3,Q3
39812400,0,0.06710413468574186,0.036640582339585115,0.030463552346156747,0.3660253096362483,0.10490961696048329,10,Q4 (high),Q4 (high)
39812500,0,0.05844241021736417,0.052838659484531134,0.005603750732833035,0.07707768771105429,0.1032236752014884,10,Q2,Q4 (high)
39812600,1,0.028838261783678147,0.026138994032655606,0.002699267751022541,0.05077166425717951,0.047311144279131426,22,Q1 (low),Q2
39812700,0,0.0628792722721691,0.05443505386685739,0.008444218405311718,0.10378414782128498,0.08749097963221528,12,Q2,Q4 (high)
39812800,0,0.061657520132948215,0.058755881746517705,0.0029016383864305106,0.03512116981621346,0.08116553649658667,13,Q1 (low),Q3
39812900,0,0.03582159075770537,0.00030146690368255106,0.03552012385402282,0.5940921647107307,0.045588009959376834,23,Q4 (high),Q2
39813000,0,0.05921833682327855,0.05890511553338862,0.0003132212898899339,0.0038120739644219906,0.06597149245458447,16,Q1 (low),Q3
39813100,0,0.02405290665651356,0.008068335404663242,0.01598457125185032,0.3141746244588775,0.03463892557384712,30,Q3,Q1 (low)
39813200,1,-0.0037663467297945064,-0.00377253560707413,6.188877279623799e-06,0.00027827299034427163,0.021566539186783765,47,Q1 (low),Q1 (low)
39813300,0,0.09483151760723471,0.04932125314009182,0.04551026446714289,0.39736074887714834,0.06840320563005789,16,Q4 (high),Q3
39813400,0,0.11135208512270153,0.05627518313258587,0.05507690199011566,0.4198995111164743,0.09940263266390101,11,Q4 (high),Q4 (high)
39813500,0,0.08952724107888614,0.06492118121715265,0.02460605986173349,0.2355247624358123,0.08934620846967993,12,Q4 (high),Q4 (high)
39813600,0,-0.004548012332186248,-0.008298312308879728,0.00375029997669348,0.1756239375947718,0.022541436449605108,45,Q2,Q1 (low)
39813700,0,0.0033465080331542677,-0.0026068745233289586,0.005953382556483226,0.20711789967323535,0.03188977982515649,32,Q2,Q1 (low)
39813800,0,-0.0043665594733441285,-0.004400083920414669,3.3524447070540364e-05,0.0014516916491356389,0.017204174270105406,59,Q1 (low),Q1 (low)
39813900,0,-0.006539369082378878,-0.007336036240538959,0.0007966671581600814,0.041816923659593844,0.03159536428897869,32,Q1 (low),Q1 (low)
39814000,0,-0.004399050925135916,-0.007373518454837457,0.002974467529701541,0.13303179722419786,0.022053353713316265,46,Q1 (low),Q1 (low)
39814100,0,0.07819207070453482,0.05490486870574553,0.023287201998789295,0.2370774690931998,0.08827940577567918,12,Q4 (high),Q4 (high)
39814200,0,0.06472270444540604,0.05402095333527305,0.010701751110132988,0.1268347625017406,0.08769899069936812,12,Q3,Q4 (high)
39814300,0,0.04672085337817735,0.0432578939437626,0.003462959434414749,0.04766118314503341,0.04586722591589676,23,Q2,Q2
39814400,0,0.07343452485910193,0.07257701267693911,0.0008575121821628173,0.00920356330461794,0.09564210855427678,11,Q1 (low),Q4 (high)
39814500,0,-0.0033624007854921164,-0.005926117146643127,0.0025637163611510107,0.11250911607657607,0.019916607729368423,51,Q1 (low),Q1 (low)
39814600,0,0.039619711466321275,0.03725265867228693,0.0023670527940343467,0.036630086437158996,0.06117374432109448,17,Q1 (low),Q3
39814700,0,0.045224246837727335,0.03805454704192648,0.007169699795800857,0.11509102277000928,0.08580662369086159,12,Q2,Q4 (high)
39814800,0,0.04014707239793612,0.03920969404790743,0.0009373783500286892,0.01496220594434963,0.04755110753653502,22,Q1 (low),Q2
39814900,0,-0.006552951984066071,-0.007956996235667214,0.0014040442516011428,0.07315419092594677,0.019850521803066686,51,Q1 (low),Q1 (low)
39815000,0,0.06343913135253468,0.027205419528072355,0.03623371182446232,0.3996470679248128,0.03475976597226358,31,Q4 (high),Q1 (low)
39815100,0,0.026180327976139405,0.02175855517910182,0.004421772797037586,0.08888499628311586,0.0385231391435563,27,Q2,Q1 (low)
